No,Apakah.Anda.atau.anggota.keluarga.Anda.memiliki.usaha.sendiri.di.desa.ini,Berapa.pendapatan.bulanan.Anda.atau.anggota.keluarga.Anda.secara.keseluruhan.Kisaran.jumlah,Apakah.Anda.atau.anggota.keluarga.Anda.menerima.bantuan.sosial,Jika.ya.sebutkan.aspek.ekonomi,Bagaimana.Anda.menilai.stabilitas.harga.pangan.saat.ini,Apakah.Anda.memiliki.simpanan.atau.investasi.di.luar.penghasilan.bulanan.Anda,Apakah.Anda.merasa.terdapat.peluang.ekonomi.yang.cukup.di.desa.ini,Bagaimana.Anda.menilai.aksesibilitas.dan.ketersediaan.lapangan.pekerjaan.di.desa.ini,Apakah.Anda.merasa.terdapat.kesenjangan.ekonomi.di.antara.penduduk.di.desa.ini
1,1,3,2,,1,2,1,2,3
2,1,2,2,,2,2,1,1,4
3,1,3,2,,2,1,1,3,3
4,1,2,2,,2,2,1,3,4
5,2,2,1,"Dana bos, Santunan PT Tamaris",2,2,2,3,3
6,1,1,2,,2,2,1,3,3
7,2,3,2,,2,2,2,2,3
8,1,2,2,,2,2,2,2,3
9,1,2,2,,3,2,2,2,4
10,2,1,2,,2,2,2,2,3
11,1,1,2,,2,2,2,2,2
12,2,1,2,,2,1,2,2,2
13,1,4,2,,3,2,2,2,2
14,2,1,1,PIP,1,2,2,2,3
15,1,1,2,,2,2,2,2,3
16,2,2,2,,2,1,2,2,1
17,1,2,1,BLT corona,3,2,1,2,2
18,2,2,2,,2,2,2,2,2
19,1,3,2,,2,1,1,2,2
20,1,1,1,"Sembako, Obat-obatan (Pribadi)",2,1,2,4,3
21,2,2,2,,3,2,1,3,2
22,1,2,1,Dana bos,2,2,2,2,3
23,1,1,2,,3,2,2,2,3
24,1,3,1,BLT,2,2,2,3,4
25,1,2,2,,2,2,1,2,4
26,2,4,2,,1,2,1,2,3
27,1,4,2,,2,1,1,2,3
28,2,2,2,,2,2,2,2,2
29,2,2,2,,2,2,2,2,3
30,2,1,2,,1,2,1,2,3
31,2,2,1,Bulog,2,2,1,2,3
32,2,1,1,"Bulog, Blt",1,2,1,2,3
33,2,1,2,,1,2,1,2,3
34,2,2,1,BLT,1,2,1,2,3
35,1,2,2,,1,2,1,1,3
36,1,2,1,Bulog,2,2,1,2,2
37,2,1,1,Bulog,2,2,1,2,3
38,2,2,1,Bolog,1,2,1,2,3
39,2,2,1,Bulog,1,2,1,2,2
40,1,2,1,Bulog,2,2,1,1,3
41,1,1,1,"Bulog, Blt",1,2,1,1,3
42,2,1,1,Bulog,1,2,1,2,3
43,2,1,1,Bulog,1,2,1,1,3
44,2,1,1,Bulog,1,2,1,2,3
45,1,1,1,"Bulog, Blt",2,2,1,2,3
46,2,1,1,"Bulog, Blt",2,2,1,3,2
47,1,1,2,,2,2,1,2,3
48,2,1,1,BLT,1,2,1,2,3
49,2,1,1,Bulog,2,2,2,2,3
50,1,1,1,Bulog,1,2,1,2,3
51,1,4,2,,2,2,1,3,1
52,1,4,1,PKH,2,1,1,4,1
53,1,2,2,,1,1,1,2,3
54,2,2,1,BNPT,1,2,2,2,1
55,1,2,1,PKH,1,2,2,2,4
56,1,2,2,,1,1,1,3,4
57,1,3,1,Sembako,1,2,1,3,1
58,1,2,2,,3,1,2,3,4
59,1,4,2,,1,2,2,2,2
60,1,3,1,BNPT,2,1,2,2,1
61,1,4,2,,1,2,1,2,4
62,1,3,2,,2,2,2,3,1
63,2,2,1,"PNT, BNPT, PKH",1,2,2,2,2
64,2,3,1,PKH,1,1,2,2,3
65,1,3,2,,2,2,1,3,2
66,1,2,2,,1,2,1,2,2
67,2,2,1,PKH,1,2,2,2,3
68,1,4,2,,1,2,2,2,3
69,1,3,1,Bansos,1,2,1,3,2
70,1,4,2,,2,2,1,3,1
71,2,3,2,,3,2,1,3,3
72,1,3,2,,1,2,2,2,4
73,1,3,1,KIP,1,2,2,2,4
74,2,1,2,,2,1,2,2,4
75,1,4,2,,3,1,2,2,4
76,1,1,1,PKH,3,2,1,2,1
77,1,4,1,Beras,3,1,1,1,2
78,1,2,2,,3,2,1,2,1
79,2,1,1,BLT,3,2,2,3,2
80,2,2,2,,3,2,2,3,2
81,1,2,1,Beras,3,2,1,2,3
82,1,3,1,Beras,3,2,1,2,3
83,1,2,1,Beras,3,1,1,3,3
84,1,2,1,Beras,3,2,1,3,3
85,1,2,1,Beras,3,1,1,3,3
86,1,2,1,Beras,3,2,1,2,3
87,1,1,2,,3,1,1,3,3
88,1,1,2,,3,1,1,3,3
89,1,2,1,Beras,3,1,1,1,2
90,1,2,1,BLT,3,2,1,3,2
91,1,2,1,Sembako,3,2,1,3,2
92,2,2,1,Beras,2,2,1,2,3
