"No","Dana.desa.digunakan.untuk.membentuk.kegiatan.pembangunan.desa.termasuk.membangun.usaha","Dana.desa.digunakan.untuk.membangun.Infrastruktur.desa.misalnya.jalan","Dana.desa.membantu.permodalan.bagi.kegiatan.BUMDes","Dana.CSR.digunakan.untuk.membentuk.kegiatan.pembangunan.desa","Dana.CSR.digunakan.untuk.membangun.Infrastruktur.desa.misalnya.jalan","Dana.CSR.membantu.permodalan.bagi.kegiatan.BUMDes"
1,3,3,1,3,1,1
2,2,3,2,1,2,1
3,2,3,1,1,1,1
4,3,3,3,2,1,1
5,2,3,2,1,1,2
6,2,3,1,1,1,1
7,1,3,1,2,1,1
8,3,2,1,2,1,3
9,1,2,1,1,1,1
10,3,3,2,2,1,2
11,3,3,1,1,1,1
12,1,3,1,1,2,1
13,3,3,1,1,2,1
14,1,3,1,1,1,1
15,2,1,1,1,1,1
16,1,3,1,1,1,1
17,3,3,3,1,1,1
18,2,3,2,1,1,1
19,2,2,2,1,1,1
20,3,2,2,1,1,1
21,3,3,3,1,1,1
22,2,3,2,1,1,1
23,1,2,1,1,1,1
24,1,2,1,1,1,1
25,2,2,1,1,1,1
26,1,2,2,1,1,1
27,2,3,1,1,1,1
28,1,2,1,1,1,1
29,1,2,1,1,1,1
30,2,3,2,1,1,1
31,1,2,1,1,1,1
32,3,3,1,1,1,1
33,2,3,2,2,1,1
34,3,3,1,3,3,1
35,3,3,3,3,2,1
36,3,3,2,3,3,2
37,1,1,1,1,1,1
38,3,3,3,3,3,3
39,3,3,1,3,3,1
40,3,3,3,3,3,3
41,1,3,1,3,3,1
42,2,2,2,2,2,2
43,1,2,1,1,2,1
44,2,3,1,2,1,3
45,2,2,2,1,2,1
46,2,2,3,3,3,3
47,3,3,1,2,2,1
48,3,3,1,1,1,1
49,3,3,3,3,2,2
50,3,3,3,2,2,2
51,3,3,1,2,2,1
52,3,3,1,1,1,1
53,3,3,1,1,1,1
54,3,3,1,1,1,1
55,3,3,3,1,1,1
56,3,3,3,1,1,1
57,3,3,3,1,1,1
58,3,3,3,3,1,1
59,3,3,3,1,1,1
60,3,3,3,1,1,1
61,3,3,1,1,1,1
62,3,3,1,3,1,1
63,2,3,3,3,1,1
64,2,3,3,3,1,1
65,2,3,3,3,1,1
66,2,3,3,3,1,1
67,3,3,3,1,1,1
68,1,1,1,1,1,1
69,2,2,1,3,1,1
70,2,3,2,3,3,1
71,1,1,1,1,1,1
72,1,1,1,1,1,1
73,1,1,1,1,1,1
74,3,1,1,1,1,1
75,2,3,3,3,1,1
76,1,1,1,1,1,1
77,2,3,1,1,1,NA
78,2,3,1,1,1,1
79,1,3,1,1,1,NA
80,3,3,1,NA,NA,NA
81,1,3,2,NA,NA,NA
82,1,2,2,NA,NA,NA
83,1,2,2,NA,NA,NA
84,1,2,2,NA,NA,NA
85,1,2,2,NA,NA,NA
86,1,2,2,NA,NA,NA
87,2,3,3,1,1,1
88,2,3,3,1,1,1
89,1,2,1,1,1,1
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
