"No","Terbukanya.usaha.ekonomi.rakyat.karena.adanya.dana.desa","Dana.desa.menambah.penghasilan.masyarakat","Adanya.Dana.desa.membantu.mengembangkan.modal.untuk.rakyat","Terbukanya.usaha.ekonomi.rakyat.karena.adanya.dana.CSR","Dana.CSR.menambah.penghasilan.masyarakat","Adanya.Dana.CSR.membantu.mengembangkan.modal.untuk.rakyat"
1,2,3,3,1,2,1
2,2,1,3,1,1,1
3,1,3,1,1,1,1
4,1,3,2,1,1,1
5,1,2,2,1,1,1
6,2,3,2,1,2,1
7,1,1,1,1,1,1
8,1,2,1,1,1,1
9,1,1,2,1,1,1
10,3,1,1,3,2,1
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,3,2,1,3,1
14,1,1,2,1,1,1
15,1,1,3,1,1,1
16,1,1,1,1,1,1
17,3,3,3,1,1,1
18,3,2,2,1,1,1
19,1,1,1,1,1,1
20,2,1,1,1,1,1
21,3,1,1,1,1,1
22,1,1,1,1,1,1
23,2,1,1,1,1,1
24,1,1,1,1,1,1
25,1,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,2,1,2,1,1,1
29,2,1,1,1,1,1
30,1,1,1,1,1,1
31,1,1,2,1,1,1
32,2,2,2,1,1,1
33,2,2,2,2,1,1
34,1,3,1,2,1,1
35,2,2,2,1,1,1
36,2,2,1,1,2,1
37,2,2,1,1,1,1
38,1,1,1,1,1,1
39,1,1,1,1,1,1
40,1,1,1,1,1,1
41,2,2,1,1,1,1
42,2,3,3,2,2,2
43,1,1,1,1,1,1
44,1,1,1,1,2,1
45,1,1,1,1,1,1
46,1,1,1,1,1,1
47,3,3,3,2,2,2
48,3,3,3,1,1,1
49,2,3,3,2,2,2
50,3,3,3,1,3,3
51,1,1,1,1,1,1
52,1,1,1,1,1,1
53,1,1,1,1,1,1
54,1,1,1,1,1,1
55,3,3,3,3,3,3
56,3,3,3,3,3,3
57,3,3,3,3,3,3
58,2,3,3,1,1,1
59,3,3,3,3,3,3
60,3,3,3,3,3,3
61,1,1,1,1,1,1
62,3,3,3,1,1,1
63,2,3,2,1,1,1
64,2,3,2,1,1,1
65,2,3,2,1,1,1
66,2,3,2,1,1,1
67,3,3,3,1,1,1
68,1,1,1,1,1,3
69,1,1,1,3,1,3
70,2,3,1,1,1,3
71,1,1,1,1,1,3
72,1,1,1,1,1,3
73,1,1,1,1,1,3
74,1,1,1,1,1,1
75,2,3,2,1,1,1
76,1,1,1,1,1,1
77,2,2,2,1,1,1
78,3,3,3,1,1,1
79,2,2,2,1,1,1
80,2,2,2,NA,NA,NA
81,2,2,2,NA,NA,NA
82,2,2,1,NA,NA,NA
83,2,2,1,NA,NA,NA
84,2,2,1,NA,NA,NA
85,2,2,1,NA,NA,NA
86,2,2,1,NA,NA,NA
87,2,2,2,1,1,1
88,2,2,2,1,1,1
89,1,1,1,1,1,1
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
