"No","Jenis.potensi","Bidang","Jumlah.satuan"
1,"Kapulaga","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi mayoritas padi"
2,"Gula Aren","Perekenomian","Tiap dusun pasti ada, tapi perorangan"
3,"Padi","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi mayoritas padi. *Dusun 4 lebih banyak daripada dusun lainnya"
4,"Kambing/ Domba","Peternakan","Tiap dusun pasti ada, tapi perorangan"
5,"Ayam Potong","Peternakan","Kerjasama dengan PT"
6,"Gunung pedogan","Wisata lokal","Musim libur banyak yang nge-camp tapi untuk saat ini akses jalannya belum terlalu mendukung"
7,"Air Terjun","Wisata lokal","3 titik (masih perlu dikembangkan, saat ini belum menjadi tempat wisata)"
8,"Cabai","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi mayoritas kapulaga"
9,"Sapi","Peternakan","Dimiliki secara perorangan"
10,"Galian C (Batu belah, batu giling)","Perekenomian","2 titik (sejauh ini masih perlu dikembangkan lagi)"
11,"Ikan mas","Perikanan","Dimiliki secara perorangan, terkadang hanya untuk konsumsi"
12,"Timun","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi musiman"
13,"Ayam Kampung","Peternakan","Dimiliki secara perorangan"
14,"Kerajinan (Anyaman)","Perekenomian","Dimiliki secara perorangan"
15,"Jagung","Pertanian","Dimiliki secara perorangan"
16,"Ikan mujair","Perikanan","Dimiliki secara perorangan"
17,"Nanas","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi musiman"
18,"Kacang Panjang","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi musiman"
19,"Labu","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi musiman"
20,"Ikan nila","Perikanan","Dimiliki secara perorangan"
21,"Panorama","Wisata lokal","Masih perlu dikembangkan, saat ini belum menjadi tempat wisata"
22,"Perusahaan (PT Kemilau, PT Tamaris, PT Zhongmin)","Perekenomian","3 titik"
23,"Pohon jati","Kehutanan","Diolah oleh masyarakat, namun berada di bawah naungan pemerintah"
24,"Bambu","Pertanian","Dimiliki secara perorangan"
25,"Pohon aren","Pertanian","Dimiliki secara perorangan"
26,"Cimpring","Perekenomian","Tiap dusun pasti ada, tapi perorangan"
27,"Karet","Pertanian","30 Ha"
28,"Aren","Pertanian","4 Ha"
29,"Padi","Pertanian",""
30,"Kembang tahu","Pertanian",""
31,"Kayu jati","Kehutanan",""
32,"Ayam","Peternakan",""
33,"Curug Butak","Wisata lokal","20m - 50m"
34,"Ayam kampung","Peternakan",""
35,"Kue ape","Perekonomian",""
36,"Jangkrik","Peternakan",""
37,"Padi","Pertanian",""
38,"Palawija","Pertanian",""
39,"Ayam petelur","Peternakan",""
40,"Ikan arwana","Perikanan","Dimiliki secara perorangan, hanya untuk konsumsi"
41,"Ikan lele","Perikanan","Dimiliki secara perorangan, hanya untuk konsumsi"
42,"Palawija","Pertanian","Setiap titik dusun"
43,"Ikan nila","Perikanan","Setiap titik dusun"
44,"Ikan mas","Perikanan",""
45,"Timun","Pertanian",""
46,"Kacang","Pertanian",""
47,"Padi","Pertanian",""
48,"Tambak ikan","Perikanan","5 Titik Dusun, 3 Titik Aliran Sungai"
49,"Kambing","Peternakan","Perorangan"
50,"Ayam kampung","Peternakan","Perorangan"
51,"Itik","Peternakan","Perorangan"
52,"Cabe","Pertanian",""
53,"Ikan lele","Perikanan","Perorangan, hanya untuk dikonsumsi"
54,"Kopi","Pertanian","1800-2000 ha"
55,"Kapulaga","Pertanian","1800-2000 ha"
56,"Padi","Pertanian","225ha"
57,"Cengkeh","Pertanian","44ha"
58,"Pertambangan Emas","Perekonomian",""
59,"Curug","Wisata lokal","2 titik"
60,"Domba","Peternakan","362m"
61,"Sapi","Peternakan","362m"
62,"Kambing","Peternakan","362m"
63,"Ayam kampung","Peternakan","28.8m"
64,"Kapulaga","Pertanian","40 ha"
65,"Pisang","Pertanian",""
66,"Gadung","Pertanian",""
67,"Kopi","Pertanian",""
68,"Kolang-kaling","UMKM",""
69,"Kapulaga","Pertanian",""
70,"Sengon","Kehutanan",""
71,"Gula aren","Pertanian",""
72,"Sapi ","Peternakan",""
73,"Sungai Sengkarang","Wisata lokal","1 Titik Dusun"
74,"Curug","Wisata lokal","1 Titik Dusun"
75,"Kopi","Pertanian",""
76,"Kapulaga","Pertanian","1 ha"
77,"Owa Jawa","Kehutanan",""
78,"Kayu jeungjing","Kehutanan","Diolah oleh masyarakat, namun berada di bawah naungan pemerintah"
79,"Pohon mahoni","Kehutanan","Diolah oleh masyarakat, namun berada di bawah naungan pemerintah"
80,"Sereh","Pertanian",""
81,"Jahe","Pertanian",""
82,"Kunyit","Pertanian",""
83,"Jati belanda","Kehutanan",""
84,"Kelor","Pertanian",""
85,"Sirsak","Pertanian",""
86,"Durian","Pertanian",""
87,"Matoa","Pertanian",""
88,"Cempedak","Pertanian",""
89,"Rambutan","Pertanian",""
90,"Pembuat furniture","Perekonomian","Dimiliki secara perorangan, membuat berbagai jenis furniture dari kayu seperti meja, kursi, dan lemari."
91,"Kerupuk emping","Perekonomian","Diproduksi secara perorangan, digunakan untuk konsumsi lokal dan dijual di pasar tradisional."
