"No","Jenis.potensi","Bidang","Jumlah.satuan"
1,"Kapulaga, cabai, timun, kacang panjang, labu","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi mayoritas padi"
2,"Gula Aren","Perekenomian","Tiap dusun pasti ada, tapi perorangan"
3,"Padi, cabai","Pertanian","Sektor pertanian tiap dusun pasti ada, tapi mayoritas padi. *Dusun 4 lebih banyak daripada dusun lainnya"
4,"Kambing/ Domba","Pertenakan","Tiap dusun pasti ada, tapi perorangan"
5,"Ayam Potong","Pertenakan","Kerjasama dengan PT"
6,"Gunung pedogan","Wisata lokal","Musim libur banyak yang nge-camp tapi untuk saat ini akses jalannya belum terlalu mendukung"
7,"Air Terjun, Panorama","Wisata lokal","3 titik (masih perlu dikembangkan, saat ini belum menjadi tempat wisata)"
8,"Padi, cabai, kapulaga","Perikanan","Sektor pertanian tiap dusun pasti ada, tapi mayoritas kapulaga"
9,"Sapi, kambing/ domba","Pertenakan","Dimiliki secara perorangan"
10,"Galian C (Batu belah, batu giling)","Perekenomian","2 titik (sejauh ini masih perlu dikembangkan lagi)"
11,"Ikan mas, ikan mujair","Perikanan","Dimiliki secara perorangan, terkadang hanya untuk konsumsi"
12,"Padi, kapulaga","Pertanian","Sektor pertanian tiap dusun pasti ada"
13,"Sapi, kambing/ domba","Pertenakan","Dimiliki secara perorangan"
14,"Kerajinan, Perusahaan (PT Kemilau, PT Tamaris, PT Zhongmin)","Perekenomian","3 titik"
15,"Padi, kapulaga, cabai, jagung, timun, nanas","Pertanian","Sektor pertanian tiap dusun pasti ada"
16,"Ikan mas, ikan mujair, ikan nila","Perikanan","Dimiliki secara perorangan"
